Kings_Attendance_Cleaned
G,Date,Start (ET),Opponent,Result,Overtime,Tm,Opp,W,L,Streak,Attend.,Notes,Record
2,2021-10-22,10:00p,Utah Jazz,L,,101.0,110.0,1.0,1.0,L 1,17583.0,,1.0-1.0
3,2021-10-24,9:00p,Golden State Warriors,L,,107.0,119.0,1.0,2.0,L 2,13876.0,,1.0-2.0
9,2021-11-05,10:00p,Charlotte Hornets,W,,140.0,110.0,5.0,4.0,W 2,14905.0,,5.0-4.0
10,2021-11-07,6:00p,Indiana Pacers,L,,91.0,94.0,5.0,5.0,L 1,12993.0,,5.0-5.0
11,2021-11-08,10:00p,Phoenix Suns,L,,104.0,109.0,5.0,6.0,L 2,13566.0,,5.0-6.0
16,2021-11-19,10:00p,Toronto Raptors,L,,89.0,108.0,6.0,10.0,L 2,13159.0,,6.0-10.0
17,2021-11-20,10:00p,Utah Jazz,L,,105.0,123.0,6.0,11.0,L 3,13180.0,,6.0-11.0
18,2021-11-22,10:00p,Philadelphia 76ers,L,,94.0,102.0,6.0,12.0,L 4,13948.0,,6.0-12.0
19,2021-11-24,10:00p,Portland Trail Blazers,W,,125.0,121.0,7.0,12.0,W 1,14997.0,,7.0-12.0
22,2021-11-30,10:00p,Los Angeles Lakers,L,,92.0,117.0,8.0,14.0,L 2,12459.0,,8.0-14.0
24,2021-12-04,10:00p,Los Angeles Clippers,W,,104.0,99.0,10.0,14.0,W 2,15004.0,,10.0-14.0
25,2021-12-08,10:00p,Orlando Magic,W,,142.0,130.0,11.0,14.0,W 3,14364.0,,11.0-14.0
29,2021-12-15,10:00p,Washington Wizards,W,,119.0,105.0,12.0,17.0,W 1,13806.0,,12.0-17.0
30,2021-12-17,10:00p,Memphis Grizzlies,L,,105.0,124.0,12.0,18.0,L 1,14659.0,,12.0-18.0
31,2021-12-19,6:00p,San Antonio Spurs,W,,121.0,114.0,13.0,18.0,W 1,15091.0,,13.0-18.0
33,2021-12-22,10:00p,Los Angeles Clippers,L,,89.0,105.0,13.0,20.0,L 2,15386.0,,13.0-20.0
34,2021-12-26,6:00p,Memphis Grizzlies,L,,102.0,127.0,13.0,21.0,L 3,15685.0,,13.0-21.0
35,2021-12-28,10:00p,Oklahoma City Thunder,W,,117.0,111.0,14.0,21.0,W 1,14750.0,,14.0-21.0
36,2021-12-29,10:30p,Dallas Mavericks,W,,95.0,94.0,15.0,21.0,W 2,16071.0,,15.0-21.0
37,2021-12-31,6:00p,Dallas Mavericks,L,,96.0,112.0,15.0,22.0,L 1,15833.0,,15.0-22.0
38,2022-01-02,6:00p,Miami Heat,W,,115.0,113.0,16.0,22.0,W 1,13699.0,,16.0-22.0
40,2022-01-05,10:00p,Atlanta Hawks,L,,102.0,108.0,16.0,24.0,L 2,13104.0,,16.0-24.0
43,2022-01-10,10:00p,Cleveland Cavaliers,L,,108.0,109.0,16.0,27.0,L 5,12110.0,,16.0-27.0
44,2022-01-12,10:00p,Los Angeles Lakers,W,,125.0,116.0,17.0,27.0,W 1,12199.0,,17.0-27.0
45,2022-01-14,10:00p,Houston Rockets,W,,126.0,114.0,18.0,27.0,W 2,12857.0,,18.0-27.0
46,2022-01-16,6:00p,Houston Rockets,L,,112.0,118.0,18.0,28.0,L 1,13601.0,,18.0-28.0
47,2022-01-19,10:00p,Detroit Pistons,L,,131.0,133.0,18.0,29.0,L 2,12907.0,,18.0-29.0
53,2022-02-02,10:00p,Brooklyn Nets,W,,112.0,101.0,19.0,34.0,W 1,13153.0,,19.0-34.0
55,2022-02-05,10:00p,Oklahoma City Thunder,W,,113.0,103.0,20.0,35.0,W 1,14097.0,,20.0-35.0
56,2022-02-08,10:00p,Minnesota Timberwolves,L,,114.0,134.0,20.0,36.0,L 1,12409.0,,20.0-36.0
57,2022-02-09,10:00p,Minnesota Timberwolves,W,,132.0,119.0,21.0,36.0,W 1,12527.0,,21.0-36.0
61,2022-02-24,10:00p,Denver Nuggets,L,,110.0,128.0,22.0,39.0,L 3,15855.0,,22.0-39.0
67,2022-03-07,10:30p,New York Knicks,L,,115.0,131.0,24.0,43.0,L 2,14720.0,,24.0-43.0
68,2022-03-09,10:00p,Denver Nuggets,L,,100.0,106.0,24.0,44.0,L 3,14697.0,,24.0-44.0
70,2022-03-14,10:00p,Chicago Bulls,W,,112.0,103.0,25.0,45.0,W 1,15943.0,,25.0-45.0
71,2022-03-16,10:00p,Milwaukee Bucks,L,,126.0,135.0,25.0,46.0,L 1,15864.0,,25.0-46.0
72,2022-03-18,10:00p,Boston Celtics,L,,97.0,126.0,25.0,47.0,L 2,15313.0,,25.0-47.0
73,2022-03-20,6:00p,Phoenix Suns,L,OT,124.0,127.0,25.0,48.0,L 3,17583.0,,25.0-48.0
79,2022-04-03,9:00p,Golden State Warriors,L,,90.0,109.0,29.0,50.0,L 1,17583.0,,29.0-50.0
80,2022-04-05,10:00p,New Orleans Pelicans,L,,109.0,123.0,29.0,51.0,L 2,16047.0,,29.0-51.0
1,2022-10-19,10:00p,Portland Trail Blazers,L,,108.0,115.0,0.0,1.0,L 1,17611.0,,0.0-1.0
2,2022-10-22,10:00p,Los Angeles Clippers,L,,109.0,111.0,0.0,2.0,L 2,16296.0,,0.0-2.0
4,2022-10-27,10:00p,Memphis Grizzlies,L,,110.0,125.0,0.0,4.0,L 4,15511.0,,0.0-4.0
5,2022-10-29,6:00p,Miami Heat,W,,119.0,113.0,1.0,4.0,W 1,14618.0,,1.0-4.0
